	genre	bookID	format	0	1	2	3	4	5	6
931	['fiction', 'jewish', 'novels', 'classics', 'american', 'the united states of america', 'literary fiction']	3072	paperback	fiction	jewish	novels	classics	american	the united states of america	literary fiction
932	['plays', 'theatre']	3075	paperback	plays	theatre					
933	['economics', 'nonfiction', 'business', 'politics', 'finance', 'history', 'audiobook']	3025	hardcover	economics	nonfiction	business	politics	finance	history	audiobook
934	['classics', 'fiction', 'romance', 'historical fiction', 'italy', 'literature', 'british literature']	3087	paperback	classics	fiction	romance	historical fiction	italy	literature	british literature
935	['classics', 'fiction', 'gardening', 'germany', 'historical fiction', 'british literature', 'nature']	3084	paperback	classics	fiction	gardening	germany	historical fiction	british literature	nature
936	['essays', 'nonfiction', 'literary criticism', 'criticism']	3100	paperback	essays	nonfiction	literary criticism	criticism			
937	['classics', 'fiction', 'historical fiction', 'romance', 'literature', 'italy', 'british literature']	3088	paperback	classics	fiction	historical fiction	romance	literature	italy	british literature
938	['classics', 'fiction', '20th century', 'british literature', 'literature', 'novels', 'literary fiction']	3101	paperback	classics	fiction	20th century	british literature	literature	novels	literary fiction
939	['fiction', 'classics', 'historical fiction', 'literature', 'british literature', 'novels', '20th century']	3102	paperback	fiction	classics	historical fiction	literature	british literature	novels	20th century
940	['health', 'nonfiction', 'self help', 'reference', 'science', 'medical', 'nutrition']	3065	paperback	health	nonfiction	self help	reference	science	medical	nutrition
941	['biography', 'nonfiction', 'history', 'biography memoir', 'books about books', 'religion', 'psychology']	3104	paperback	biography	nonfiction	history	biography memoir	books about books	religion	psychology
942	['fiction', 'classics', 'historical fiction', 'literature', 'british literature', 'novels', '20th century']	3105	paperback	fiction	classics	historical fiction	literature	british literature	novels	20th century
943	['classics', 'fiction', 'lgbt', 'queer', 'romance', 'gay', 'historical fiction']	3103	paperback	classics	fiction	lgbt	queer	romance	gay	historical fiction
944	['fiction', 'italy', 'historical fiction', 'books about books', 'art', 'romance', 'literary fiction']	3107	paperback	fiction	italy	historical fiction	books about books	art	romance	literary fiction
945	['history', 'nonfiction', 'american history', 'biography', 'american revolution', 'politics', 'american']	3113	hardcover	history	nonfiction	american history	biography	american revolution	politics	american
946	['mystery', 'adventure', 'middle grade', 'realistic fiction', 'fiction', 'action', 'thriller']	3117	paperback	mystery	adventure	middle grade	realistic fiction	fiction	action	thriller
947	['historical romance', 'romance']	3130	paperback	historical romance	romance					
948	['adventure', 'middle grade', 'mystery', 'thriller', 'fiction', 'childrens', 'young adult']	3119	paperback	adventure	middle grade	mystery	thriller	fiction	childrens	young adult
949	['adventure', 'middle grade', 'mystery', 'childrens', 'fiction', 'thriller', 'realistic fiction']	3120	paperback	adventure	middle grade	mystery	childrens	fiction	thriller	realistic fiction
950	['fiction', 'historical fiction', 'classics', 'literature', 'nobel prize', 'historical', 'novels']	3142	paperback	fiction	historical fiction	classics	literature	nobel prize	historical	novels
951	['childrens', 'young adult', 'fiction']	3144	paperback	childrens	young adult	fiction				
952	['childrens', 'british literature', 'fiction', 'middle grade', 'young adult']	3145	paperback	childrens	british literature	fiction	middle grade	young adult		
953	['childrens', 'fiction', 'young adult', 'middle grade', 'contemporary', 'school stories']	3152	paperback	childrens	fiction	young adult	middle grade	contemporary	school stories	
